name,referenc rate,DMOS
colour_boats_30fps_scaled_1RP_P1_black.mp4,3.16,0.84
colour_boats_30fps_scaled_2RP_P1_black.mp4,3.75,0.25
colour_boats_30fps_scaled_3RP_P1_black.mp4,3.97,0.03
colour_boats_30fps_scaled_4RP_P1_black.mp4,4.1,-0.1
cow_30fps_scaled_1RP_black.mp4,3.05,1.14
cow_30fps_scaled_2RP_black.mp4,3.61,0.58
cow_30fps_scaled_3RP_black.mp4,3.78,0.26
cow_30fps_scaled_4RP_black.mp4,4.04,0
CrowdRun_25fps_scaled_1RP.mp4,1.44,2.61
CrowdRun_25fps_scaled_2RP.mp4,2.11,1.95
CrowdRun_25fps_scaled_3RP.mp4,2.99,1.07
CrowdRun_25fps_scaled_4RP.mp4,3.59,0.25
ElFuente1_30fps_scaled_1RP.mp4,2.29,1.95
ElFuente1_30fps_scaled_2RP.mp4,3.25,0.87
ElFuente1_30fps_scaled_3RP.mp4,3.86,0.26
ElFuente1_30fps_scaled_4RP.mp4,4.03,0.09
food_market_30fps_scaled_1RP_P1_black.mp4,2.76,1.51
food_market_30fps_scaled_2RP_P1_black.mp4,3.74,0.64
food_market_30fps_scaled_3RP_P1_black.mp4,4.16,0.12
food_market_30fps_scaled_4RP_P1_black.mp4,4.22,0.05
FoxBird_25fps_scaled_1RP.mp4,3.11,1.35
FoxBird_25fps_scaled_2RP.mp4,4.08,0.37
FoxBird_25fps_scaled_3RP.mp4,4.32,0.06
FoxBird_25fps_scaled_4RP.mp4,4.44,0.01
people_30fps_scaled_1RP_black.mp4,2.3,1.86
people_30fps_scaled_2RP_black.mp4,3.38,0.78
people_30fps_scaled_3RP_black.mp4,3.89,0.26
people_30fps_scaled_4RP_black.mp4,4.05,0.11
Seeking_25fps_scaled_1RP.mp4,2.32,1.77
Seeking_25fps_scaled_2RP.mp4,3.16,0.93
Seeking_25fps_scaled_3RP.mp4,3.7,0.39
Seeking_25fps_scaled_4RP.mp4,3.96,0.13
