step,video,reference,DMOS
5,Tennis_24fps_scaled_1RP.mp4,,
6,Tennis_24fps_scaled_3RP.mp4,,
7,BigBuckBunny_25fps_scaled_2RP.mp4,,
8,BigBuckBunny_25fps_scaled_4RP.mp4,,
10,Seeking_25fps_scaled_0RP.mp4,4.09,
11,Seeking_25fps_scaled_1RP.mp4,2.57,
12,colour_boats_30fps_scaled_0RP_P1_black.mp4,4,
13,colour_boats_30fps_scaled_1RP_P1_black.mp4,3.32,
14,Seeking_25fps_scaled_0RP.mp4,4.18,-0.09
15,Seeking_25fps_scaled_1RP.mp4,2.48,1.61
16,Seeking_25fps_scaled_2RP.mp4,3.27,0.82
17,Seeking_25fps_scaled_3RP.mp4,3.82,0.27
18,Seeking_25fps_scaled_4RP.mp4,3.85,0.24
19,Seeking_25fps_scaled_3RP.mp4,3.7,0.39
20,Seeking_25fps_scaled_4RP.mp4,3.96,0.13
21,colour_boats_30fps_scaled_0RP_P1_black.mp4,4.19,-0.19
22,colour_boats_30fps_scaled_1RP_P1_black.mp4,3.16,0.84
23,colour_boats_30fps_scaled_2RP_P1_black.mp4,3.84,0.16
24,colour_boats_30fps_scaled_3RP_P1_black.mp4,3.97,0.03
25,colour_boats_30fps_scaled_4RP_P1_black.mp4,4.1,-0.1
26,colour_boats_30fps_scaled_1RP_P1_black.mp4,3.39,0.61
27,colour_boats_30fps_scaled_2RP_P1_black.mp4,3.75,0.25
